3000,ginger,399.47
8176,pasta,101.3
2622,ginger,575.79
4754,5kgs rice,544.25
2748,carrot,235.8
6499,carrot,358.39
7249,egg,295.21
9200,ginger,185.29
7886,egg,583.4
6931,ginger,223.27
1120,soy sauce,237.56
7292,onion,448.15
2034,soy sauce,448.01
1631,biscuit,468.16
7479,vinegar,256.61
8434,bread,550.64
9687,egg,423.06
4400,vinegar,152.86
3108,calamansi,170.41
7269,soy sauce,588.52
7757,carrot,329.03
1245,ginger,454.13
3103,garlic,569.24
5061,biscuit,100.35
3843,5kgs rice,529.26
8085,biscuit,370.81
6390,pepper,461.54
3183,milk,535.83
9426,garlic,372.08
8334,soy sauce,475.81
